id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center
piano.m0.Gb1.f.SDp1170,piano,strings,7.5875516,-0.20093262,78,f,0.0293,881.3
piano.m380.Ab7.p.SDp508,piano,strings,10.563306,3.2175207,0,p,0.0147,1737.6
piano.m407.A2.mf.SDp666,piano,strings,7.709051,-2.8401563,63,mf,0.0217,331.7
"piano.m189.vfast, with little pressure.SDp56",piano,strings,16.032948,1.9680899,0,---,0.4663,3679.1
piano.m190.Eb3.p7.p.SDp2569,piano,strings,3.184855,3.6637657,0,p,0.0354,377.4
"piano.m54.vfast, with little pressure.SDp2857",piano,strings,11.586539,10.533077,0,---,0.0391,947.8
piano.m379.Eb4.p.SDp1227,piano,strings,3.5653026,4.1441154,45,p,0.0122,407.3
"piano.m77.vslow, with little pressure.SDp44",piano,strings,13.182579,10.594792,2,---,0.0259,427.6
piano.m374.C3.p.SDp1929,piano,strings,7.655855,-2.66068,60,p,0.0076,270.2
piano.m190.A1.p3.f.SDp2490,piano,strings,7.4173236,-2.747126,136,f,0.0042,350.5
piano.m379.Eb3.p.SDp1219,piano,strings,4.0343,4.39592,57,p,0.0134,473.3
"piano.m135.vslow, with little pressure.SDp2903",piano,strings,16.090542,1.7388994,0,---,0.2312,3803.4
"piano.m75.vfast, with little pressure.SDp148",piano,strings,12.64747,4.1387835,0,---,0.1227,1913.9
"piano.m91.vfast, with little pressure.SDp226",piano,strings,16.041922,1.9352397,0,---,0.4783,3676.4
piano.m190.C6.p2.f.SDp2612,piano,strings,6.999014,1.586888,149,f,0.0154,792.4
piano.m360.C3.f.SDp1328,piano,strings,4.691099,1.510137,5,f,0.0103,315.2
contrabass trombone.m81.Db4.mf.Wnc1077,contrabass trombone,trombones,5.183234,1.0399327,9,mf,0.0147,493.9
contrabass trombone.m84.G2.fff.Wnc805,contrabass trombone,trombones,12.984405,-4.4953375,27,fff,0.031,1384.4
contrabass trombone.m77.G3.mf.Wnc204,contrabass trombone,trombones,6.8627157,0.98124486,15,mf,0.0193,742.9
contrabass trombone.m71.Bb0.Bb2.Wnc1228,contrabass trombone,trombones,7.704915,15.640359,604,---,0.0239,414.9
contrabass trombone.m80.E2.ppp.Wnc1004,contrabass trombone,trombones,13.167433,12.968798,30,ppp,0.0111,422.7
contrabass trombone.m83.Db1.fff.Wnc940,contrabass trombone,trombones,11.421563,-7.999645,45,fff,0.0283,700.6
contrabass trombone.m83.Db1.ppp.Wnc938,contrabass trombone,trombones,11.968704,12.9264965,45,ppp,0.0259,479.2
